teks_klaim,is_claim,source,category
0-dimensional biomaterials lack inductive properties.,true,scifact,OTHER
1 in 5 million in UK have abnormal PrP positivity.,true,scifact,OTHER
1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.,true,scifact,DIAGNOSIS
10% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,true,scifact,MATERNAL_CHILD
32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,true,scifact,TREATMENT
4-PBA treatment decreases endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,true,scifact,TREATMENT
4-PBA treatment raises endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,true,scifact,TREATMENT
40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,true,scifact,NUTRITION
5'-nucleotidase metabolizes 6MP.,true,scifact,OTHER
50% of patients exposed to radiation have activated markers of mesenchymal stem cells.,true,scifact,OTHER
53% of perinatal mortality is due to low birth weight.,true,scifact,OTHER
61% of colorectal cancer patients are diagnosed with regional or distant metastases.,true,scifact,DIAGNOSIS
7-day-old adult Caenorhabditis elegans exhibit approximately 5% of the learning capacity seen in 1-day old adults.,true,scifact,OTHER
7-day-old adult Caenorhabditis elegans exhibit approximately 75% of the learning capacity seen in 1-day old adults.,true,scifact,OTHER
70% of burn patients are admitted for hospitalization and further treatment after appearing at hospital emergency wards or outpatient clinics.,true,scifact,TREATMENT
76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,true,scifact,TREATMENT
90% of patients with melanoma and an objective response to PD-1 blockade will experience a progression in their melanoma.,true,scifact,OTHER
90% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,true,scifact,MATERNAL_CHILD
A 100g dose of chloroquine chemoprophylactic regimen results in retinal toxicity after 1 year of weekly intake.,true,scifact,OTHER
A 100g dose of chloroquine chemoprophylactic regimen results in retinal toxicity after 5-6 years of weekly intake.,true,scifact,OTHER
