teks_klaim,evidence,new_label
Sinyal CD28 mengatur perdagangan sel T auto-reaktif murine ke jaringan target.,"Aktivasi sel T yang reaktif dan perdagangannya ke jaringan target menyebabkan kerusakan organ autoimun. Tikus yang kekurangan reseptor ko-inhibitor sitotoksik T limfosit antigen-4 (CTLA-4) mengembangkan autoimunitas fatal yang ditandai dengan infiltrasi limfositik ke dalam jaringan non-limfoid. Di sini, kami menunjukkan bahwa jalur ko-stimulasi CD28 mengatur perdagangan sel T Ctla4(-/-) yang reaktif sendiri ke jaringan. Ablasi bersamaan dari keluarga Tec kinase ITK yang teraktivasi CD28 tidak menghalangi aktivasi sel T spontan melainkan menyebabkan sel T Ctla4(-/-) yang reaktif sendiri terakumulasi di organ limfoid sekunder. Meskipun aktivasi dan proliferasi sel T spontan yang berlebihan pada organ limfoid, Itk(-/-); Tikus Ctla4(-/-) dinyatakan sehat, meningkatkan tanggapan kekebalan antivirus, dan menunjukkan umur yang panjang. Kami mengusulkan agar ITK secara khusus melisensikan sel T autoreaktif untuk memasuki jaringan guna meningkatkan respons imun yang merusak. Khususnya, inhibitor ITK meniru fenotip mutan nol dan juga mencegah infiltrasi pulau pankreas oleh sel T diabetogenik pada model tikus diabetes tipe 1, menyoroti potensi kegunaannya untuk pengobatan gangguan autoimun manusia.",SUPPORT
Tidur kurang dari 6 jam sehari meningkatkan risiko penyakit jantung dan diabetes.,Epidemiological studies demonstrate that habitual short sleepers have higher risk of coronary heart disease and metabolic syndrome.,SUPPORT
"Bukti menunjukkan bahwa orang yang memakai penutup wajah akan menyerap lebih sedikit partikel virus corona, sehingga penyakit ini tidak terlalu parah.","Dalam penelitian ini, kami mendemonstrasikan, dengan menggunakan virus corona virus bronkitis menular yang mirip dengan SARSCoV2, bahwa masker medis dan masker N95 tetap memiliki khasiat memblokir setelah dikukus dalam air mendidih bahkan selama 2 jam.",SUPPORT
Merokok ganja dan virus corona: Bahkan penggunaan sesekali meningkatkan risiko komplikasi Covid-19,Data menunjukkan CVIR menunjukkan tren yang signifikan di seluruh kuintil intensitas penggunaan ganja dan dengan undang-undang ganja yang lebih longgar. Penggunaan ganja baru-baru ini dapat memprediksi CVIR secara independen dalam model bivariat dan multivariabel yang disesuaikan dan intensitas penggunaannya signifikan secara interaktif. Ganja bergabung dengan tembakau sebagai faktor risiko SARS2-CoV-2.,SUPPORT
"Acetaminophen, juga disebut parasetamol atau Tylenol, membantu mengurangi demam dan tentunya dapat membantu mengatasi nyeri otot dan nyeri tubuh yang terkait dengan COVID-19. Asetaminofen tidak mengobati virus itu sendiri, juga tidak mengurangi durasi penyakit Anda.","Berdasarkan bukti hingga saat ini, ada beberapa pilihan pengobatan yang perlu dipertimbangkan untuk meredakan demam (asetaminofen, NSAID, glukokortikoid oral), batuk (morfin), sesak napas (morfin, oksigen, kipas angin), kecemasan (benzodiazepin) dan nyeri (NSAID, morfin).",SUPPORT
Nikotin Dapat Mencegah Penyebaran COVID-19,"Survei statistik terhadap pasien COVID-19 menunjukkan, bertentangan dengan logika umum, bahwa orang yang merokok kurang rentan terhadap infeksi dan/atau menunjukkan gejala pernapasan yang lebih ringan dibandingkan bukan perokok.",SUPPORT
"Alkohol (bir, anggur, minuman beralkohol sulingan, atau alkohol herbal) merangsang kekebalan dan ketahanan terhadap virus",Apakah minum merupakan cara yang sehat untuk mengatasi masalah ini? TIDAK.,SUPPORT
"Meskipun suplemen vitamin C dianggap aman, menurut CDC, mudah untuk mengonsumsi semua vitamin C yang Anda butuhkan melalui makanan.","Suplemen makanan belum dikaitkan dengan pencegahan COVID-19. Namun, suplementasi vitamin C dan D, serta seng dan selenium, dianggap berpotensi bermanfaat bagi individu yang menderita, atau berisiko, infeksi virus pernapasan, atau bagi mereka yang terdeteksi kekurangan nutrisi.",SUPPORT
"Jarak fisik, masker wajah, dan pelindung mata untuk mencegah penularan SARS-CoV-2 dan COVID-19 dari orang ke orang","Dalam penelitian ini, kami mendemonstrasikan, dengan menggunakan virus corona virus bronkitis menular yang mirip dengan SARSCoV2, bahwa masker medis dan masker N95 tetap memiliki khasiat memblokir setelah dikukus dalam air mendidih bahkan selama 2 jam.",SUPPORT
Berbagai penelitian baru-baru ini menemukan bahwa memiliki kadar Vitamin D yang lebih rendah dari 30ng/ml berarti kekurangan Vitamin D yang parah dan menempatkan seseorang pada risiko kematian yang lebih tinggi akibat kasus COVID-19.,"Beberapa penelitian menunjukkan peran vitamin D dalam mengurangi risiko infeksi saluran pernafasan akut dan pneumonia. Ini termasuk penghambatan langsung dengan replikasi virus atau dengan cara anti-inflamasi atau imunomodulator. Dalam meta-analisis, suplementasi vitamin D terbukti aman dan efektif melawan infeksi saluran pernafasan akut. Oleh karena itu, orang-orang yang berisiko lebih tinggi mengalami kekurangan vitamin D selama pandemi global ini harus mempertimbangkan untuk mengonsumsi suplemen vitamin D untuk menjaga sirkulasi 25(OH)D pada tingkat optimal (75-125nmol/L).",SUPPORT
