teks_klaim,label
Operasi Amandel-Adenoid Juga Dapat Membantu Perilaku,false
Mangga membantu meningkatkan kesehatan kardiovaskular dan usus pada wanita,false
"Pada akhir September 2020, Departemen Pertanian A.S. mendistribusikan jutaan kotak bantuan yang didanai pemerintah federal, termasuk surat dari Presiden Donald Trump yang memuji pemerintahannya atas pendistribusian kotak tersebut.",true
Donald Trump menyarankan dia akan menggunakan senjata nuklir terhadap Meksiko jika mereka menolak membangun dan membiayai pembangunan tembok.,false
"""Gembong Narkoba yang Menggemaskan"""" Sarah Furay menghindari tuntutan karena hubungan ayahnya dengan DEA.""",false
"""""Tato"""" karakter kartun yang dibubuhi LSD dibagikan kepada anak-anak oleh pengedar narkoba yang tidak bermoral.""",false
"""Patrick Murphy Berkata """"Marco Rubio akan menghilangkan hak perempuan untuk memilih korban pemerkosaan atau inses.""",true
Korban serangan jantung pelanggan yang keren,false
Bangsawan muda Inggris mempromosikan pembicaraan mengenai kesehatan mental.,true
Negara menaikkan gaji pekerja perawatan; permintaan di dapur umum melonjak.,true
Hakim menolak rencana Trump untuk membangun jalan di suaka margasatwa Alaska.,true
Studi menemukan sinar kosmik meningkatkan risiko jantung di kalangan astronot Apollo.,true
Studi: Hasil Buruk Dari Bedah Lap-Band,true
Buzz Kesehatan: Obat Penghilang Rasa Sakit yang Umum Melawan Kanker; Diklofenak bisa menjadi pengobatan kanker berikutnya.,false
Sepasang suami istri di Las Vegas ditangkap karena memodifikasi telinga bayi mereka agar runcing seperti telinga Vulcan.,false
Leeds Trinity University melarang penggunaan huruf kapital untuk menghindari kemarahan atau ketakutan siswa yang lemah agar tidak gagal di kelas.,false
Rokok elektrik: pertanyaan hangat bagi regulator AS.,true
"""NaturalNews.com Mengatakan"" ""virus corona direkayasa oleh para ilmuwan di laboratorium.""",false
Pemasar online menjamin bahwa Quantum Vision System dapat memberikan penglihatan 20/20 kepada penggunanya dalam waktu kurang dari tujuh hari.,false
Minuman energi Red Bull dan Bang dinyatakan positif mengandung berbagai obat terlarang atau obat resep dalam tes zat atau urin,false
Jajaran jus dan smoothie “Naked” mengandung formaldehida pengawet beracun.,false
Clark County di Washington melaporkan penyakit pertama yang berhubungan dengan vaping.,true
"Paus Fransiskus memperingatkan 'kejahatan' narkoba, menentang legalisasi.",true
"Tai chi meredakan gejala fibromyalgia, demikian temuan penelitian",false
Seorang dokter dari Pusat Pengendalian dan Pencegahan Penyakit mengatakan vaksin flu menyebabkan epidemi flu yang mematikan.,false
"Wabah penyakit dilaporkan di penjara negara, 1 narapidana tewas.",true
“Penelitian menggambarkan korelasi yang jelas antara kekurangan vitamin D dan tingkat kematian akibat COVID-19 (yang lebih tinggi).”,true
"Dalam kasus tahun 2014 yang melibatkan seorang pria yang dihukum karena menganiaya dua gadis di bawah umur, Hakim Roy Moore tidak setuju dan menulis pendapat berbeda.",false
Ilmuwan Nordik memulai uji coba vaksin nikotin.,true
Melanjutkan Perkembangan Konsensus Medis Tentang Kegunaan Minyak Peppermint Untuk Irritable Bowel Syndrome (IBS),false
'Musuh umat manusia': Kematian akibat virus corona melampaui SARS saat Tiongkok kembali bekerja.,true
Pembeli Inggris menolak daging setelah skandal kuda.,true
Bassis KISS Gene Simmons mencangkokkan lidah sapi ke lidahnya sendiri.,false
Keluhan mata: Betapa keringnya aku,false
"""Daniel Kelly Mengatakan saingannya Jill Karofsky ingin"" ""melucuti senjata warga negara yang taat hukum.""",false
"""""Proposal anggaran yang disetujui DPR dapat memotong dana untuk program yang membantu menjaga lingkungan lokal tetap aman, memangkas lebih dari $1,7 juta dana anti-teror untuk Ohio.""",true
Metformin Obat Diabetes Terkait dengan Penurunan Angka Kanker Paru-Paru pada Tikus,true
"""Ted Cruz Mengatakan Donald Trump dan Marco Rubio menentang """"upaya Cruz untuk membubarkan dana Planned Parenthood.""",false
Barack dan Michelle Obama menyerahkan izin hukum mereka untuk menghindari tindakan disipliner yang tertunda.,false
Apakah tindakan keras Eropa terhadap peralatan medis yang rusak akan merugikan pasien?,true
Indonesia melaporkan lonjakan kematian akibat virus corona terbesar seiring dengan membaiknya tren di Malaysia.,true
Okposo dari Sabres sangat ingin menantikan saat ini karena dia sudah sehat.,true
John Kitzhaber adalah satu-satunya kandidat pro-pilihan dalam pemilihan gubernur.,false
Kenaikan tarif disetujui untuk pusat perawatan kecanduan.,true
